21:51:29 | DEBUG   | eda.component          |   U1.59  PB7      sym_mm=(  17.78, -20.32) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.59  PB7      offset_mm=(  17.78,  20.32) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.60  BOOT0    sym_mm=( -17.78,  35.56) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.60  BOOT0    offset_mm=( -17.78, -35.56) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.61  PB8      sym_mm=(  17.78, -22.86) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.61  PB8      offset_mm=(  17.78,  22.86) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.62  PB9      sym_mm=(  17.78, -25.40) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.62  PB9      offset_mm=(  17.78,  25.40) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.63  VSS      sym_mm=(   0.00, -48.26) orient=90.0
21:51:29 | DEBUG   | eda.component          |   U1.63  VSS      offset_mm=(   0.00,  48.26) dir=up
21:51:29 | DEBUG   | eda.component          |   U1.64  VDD      sym_mm=(   5.08,  48.26) orient=270.0
21:51:29 | DEBUG   | eda.component          |   U1.64  VDD      offset_mm=(   5.08, -48.26) dir=down
21:51:29 | INFO    | eda.component          | U1: пины U1:18 и U1:31 на одной позиции, имя 'VSS' (кандидаты на alias — схлопнёт Netlist)
21:51:29 | INFO    | eda.component          | U1: пины U1:18 и U1:47 на одной позиции, имя 'VSS' (кандидаты на alias — схлопнёт Netlist)
21:51:29 | INFO    | eda.component          | U1: пины U1:18 и U1:63 на одной позиции, имя 'VSS' (кандидаты на alias — схлопнёт Netlist)
21:51:29 | INFO    | eda.component          | U1: пины U1:31 и U1:47 на одной позиции, имя 'VSS' (кандидаты на alias — схлопнёт Netlist)
21:51:29 | INFO    | eda.component          | U1: пины U1:31 и U1:63 на одной позиции, имя 'VSS' (кандидаты на alias — схлопнёт Netlist)
21:51:29 | INFO    | eda.component          | U1: пины U1:47 и U1:63 на одной позиции, имя 'VSS' (кандидаты на alias — схлопнёт Netlist)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент U1
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_CAN
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_CAN (sheets/can_bus.yaml, портов 6)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_PWR
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_PWR (sheets/power_supply.yaml, портов 24)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_UI
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_UI (sheets/user_interface.yaml, портов 19)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_SEN_CABIN
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_SEN_CABIN (sheets/cabin_sensor.yaml, портов 4)
21:51:29 | DEBUG   | eda.sheet              | [root] добавлен компонент X_SEN_HEAT
21:51:29 | DEBUG   | eda.project            | [root] добавлен SheetRef X_SEN_HEAT (sheets/heating_sensor.yaml, портов 4)
