15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C7] [1] stub_in page=(181.61,127.00) dir=up steps=1 tip=Cell(col=143, row=99) tip_page=(181.61,125.73)
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C7] [1] route right ×24
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C7] [1] wire C7:1 -> T segments=1 cells=26
15:45:34 | INFO    | eda.router             | [root] [-] [C7] [1] t_junction recorded net=VCC_3V3 target=Cell(col=167, row=99) host=C5:1 -> C6:1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C7] [1] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C8] [1] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] [C8] [1] t_connect candidates=43 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs Cell(col=119, row=99) → Cell(col=143, row=99)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs done steps=1090 cells=25
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C8] [1] t_junction target=Cell(col=143, row=99) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C8] [1] stub_in page=(151.13,127.00) dir=up steps=1 tip=Cell(col=119, row=99) tip_page=(151.13,125.73)
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C8] [1] route right ×24
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C8] [1] wire C8:1 -> T segments=1 cells=26
15:45:34 | INFO    | eda.router             | [root] [-] [C8] [1] t_junction recorded net=VCC_3V3 target=Cell(col=143, row=99) host=C7:1 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C8] [1] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C9] [1] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] [C9] [1] t_connect candidates=68 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs Cell(col=95, row=99) → Cell(col=119, row=99)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs done steps=1090 cells=25
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C9] [1] t_junction target=Cell(col=119, row=99) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C9] [1] stub_in page=(120.65,127.00) dir=up steps=1 tip=Cell(col=95, row=99) tip_page=(120.65,125.73)
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C9] [1] route right ×24
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C9] [1] wire C9:1 -> T segments=1 cells=26
15:45:34 | INFO    | eda.router             | [root] [-] [C9] [1] t_junction recorded net=VCC_3V3 target=Cell(col=119, row=99) host=C8:1 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [C9] [1] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [48] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] [U1] [48] t_connect candidates=93 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs Cell(col=43, row=63) → Cell(col=95, row=99)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_3V3] bfs done steps=11192 cells=91
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [48] t_junction target=Cell(col=95, row=99) try=1
15:45:34 | WARNING | eda.router             | [root] [VCC_3V3] OCCUPY_OVERLAP cell=Cell(col=43, row=64) existing_net=VCC_12V new_net=VCC_3V3 existing_wire=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V new_wire=U1:48 -> T
15:45:34 | WARNING | eda.router             | [root] [VCC_3V3] OCCUPY_OVERLAP cell=Cell(col=79, row=62) existing_net=VCC_12V new_net=VCC_3V3 existing_wire=X_OUT:VCC_12V -> T new_wire=U1:48 -> T
15:45:34 | WARNING | eda.router             | [root] [VCC_3V3] OCCUPY_OVERLAP cell=Cell(col=95, row=64) existing_net=VCC_12V new_net=VCC_3V3 existing_wire=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V new_wire=U1:48 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [48] stub_in page=(54.61,82.55) dir=up steps=2 tip=Cell(col=43, row=63) tip_page=(54.61,80.01)
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [48] route up ×1, right ×52, down ×37
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [48] wire U1:48 -> T segments=3 cells=93
15:45:34 | INFO    | eda.router             | [root] [-] [U1] [48] t_junction recorded net=VCC_3V3 target=Cell(col=95, row=99) host=C9:1 -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [48] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_3V3] [U1] [64] t_connect
